code,cum_adjf
300708,100000
300709,100000
300710,100000
300711,100000
300712,100000
300713,100000
300715,100000
300716,100000
300717,100000
300718,100000
300719,100000
300720,100000
300721,100000
300722,100000
300723,100000
300725,100000
300726,100000
300727,100000
300729,100000
300730,100000
300731,100000
300732,100000
300733,100000
300735,100000
300736,100000
300738,100000
301,100000
31,100000
32,100000
333,100000
338,100000
34,100000
35,100000
36,100000
37,100000
38,100000
39,100000
4,100000
40,100000
400,100000
401,100000
402,100000
403,100000
404,100000
407,100000
408,100000
409,100000
410,100000
411,100000
413,100000
415,100000
416,100000
417,100000
418,100000
419,100000
42,100000
420,100000
421,100000
422,100000
423,100000
425,100000
426,100000
428,100000
429,100000
43,100000
430,100000
45,100000
46,100000
48,100000
488,100000
49,100000
498,100000
5,100000
50,100000
501,100000
502,100000
503,100000
504,100000
505,100000
506,100000
507,100000
509,100000
510,100000
511,100000
513,100000
514,100000
516,100000
517,100000
518,100000
519,100000
520,100000
521,100000
523,100000
524,100000
525,100000
526,100000
528,100000
529,100000
530,100000
531,100000
532,100000
533,100000
534,100000
536,100000
537,100000
538,100000
539,100000
540,100000
541,100000
543,100000
544,100000
545,100000
546,100000
547,100000
548,100000
55,100000
550,100000
551,100000
552,100000
553,100000
554,100000
555,100000
557,100000
558,100000
559,100000
56,100000
560,100000
561,100000
563,100000
564,100000
565,100000
566,100000
567,100000
568,100000
570,100000
571,100000
572,100000
573,100000
576,100000
58,100000
581,100000
582,100000
584,100000
585,100000
586,100000
587,100000
589,100000
59,100000
590,100000
591,100000
592,100000
593,100000
595,100000
596,100000
597,100000
598,100000
599,100000
6,100000
60,100000
600,100000
600000,1221024
600004,251353
600006,353388
600007,168358
600008,733751
600009,298745
600010,832973
600011,449823
600012,208140
600015,419882
600016,2010259
600017,322853
600018,133228
600019,216189
600020,380592
600021,203221
600022,555032
600023,150593
600025,100000
600026,166919
600027,170071
600028,266186
600029,166533
600030,526440
600031,4564616
600033,652752
600035,272839
600036,462745
600037,509191
600038,299801
600039,753132
600048,1913141
600050,155559
600051,432922
600052,331174
600053,218878
600054,422957
600055,1433819
600056,879606
600057,604383
600058,476403
600059,803334
600060,563221
600061,582081
600062,624765
600063,1319645
600064,1003293
600066,3864922
600067,2106938
600068,575297
600069,493188
600070,967560
600071,574885
600072,419106
600073,305900
600074,959609
600075,1028552
600076,317487
600077,817371
600078,608952
600079,1319544
600080,508117
600081,912261
600082,597460
600083,100000
600084,717782
600085,1092303
600086,964081
600088,295485
600089,3587956
600090,489149
600091,257528
600093,545277
600094,269431
600095,331847
600096,246709
600097,141139
600098,521698
600099,273653
600100,2116550
600101,542844
600103,412215
600104,833957
600105,839540
600106,563159
600107,258835
600108,973772
600109,851833
600110,1399126
600111,1950861
600112,403827
600113,410831
600114,384691
600115,136015
600116,593968
600117,275436
600118,1653487
600119,294431
600120,1764137
600121,406177
600122,585589
600123,711011
600125,1579114
600126,393824
600127,507885
600128,295113
600129,301447
600130,603811
600131,509676
600132,514585
600133,404662
600135,283581
600136,247298
600137,150028
600138,524613
600139,895742
600141,266514
600143,1859347
600145,1526495
600146,132000
600148,276690
600149,288969
600150,328148
600151,477428
600152,306600
600153,1412998
600155,289799
600156,189832
600157,5089026
600158,645039
600159,480975
600160,783190
600161,692351
600162,688240
600163,234959
600165,497233
600166,2610400
600167,136897
600168,212972
600169,1013506
600170,1391127
600171,272146
600172,934224
600173,211435
600175,1703773
600176,1167781
600177,2355830
600178,209509
600179,160556
600180,277058
600182,116121
600183,770308
600184,322730
600185,669914
600186,502093
600187,560831
600188,263980
600189,210548
600190,264027
600191,254261
600192,177149
600193,670167
600195,255835
600196,1360208
600197,367747
600198,181406
600199,470925
600200,1101295
600201,1143245
600202,491728
600203,168578
600206,414656
600207,155472
600208,658660
600209,349694
600210,709411
600211,154123
600212,271856
600213,157098
600215,215594
600216,567541
600217,452241
600218,200098
600219,612257
600220,838942
600221,319235
600222,406521
600223,182070
600225,215004
600226,2186609
600227,575466
600228,216925
600229,139792
600230,151402
600231,748505
600232,264018
600233,491726
600234,235200
600235,219707
600236,472923
600237,420319
600238,401329
600239,1843744
600240,787428
600241,250833
600242,108793
600243,159357
600246,1215130
600247,468448
600248,365639
600249,441948
600250,271327
600251,848313
600252,3567916
600255,1362044
600256,3720047
600257,654001
600258,202716
600259,105136
600260,433747
600261,1707489
600262,147275
600265,165926
600266,392507
600267,680435
600268,704145
600269,1060235
600270,574114
600271,1835463
600272,125786
600273,149482
600275,275419
600276,2832289
600277,397074
600278,208475
600279,228510
600280,1147019
600281,193772
600282,532755
600283,162411
600284,228357
600285,666923
600287,485877
600288,454356
600289,736664
600290,501848
600291,322567
600292,415508
600293,326788
600295,298436
600297,640216
600298,786632
600299,284348
600300,710311
600301,176438
600302,297492
600303,639099
600305,572550
600306,171923
600307,423045
600308,651123
600309,3368124
600310,822226
600311,450500
600312,633070
600313,419933
600315,539455
600316,435284
600317,1091245
600318,317622
600319,147136
600320,1091639
600321,775173
600322,315550
600323,356604
600325,786525
600326,780845
600327,779647
600328,289326
600329,302583
600330,402073
600331,899892
600332,146040
600333,260656
600335,518632
600336,300857
600337,1300832
600338,127354
600339,393570
600340,1659179
600343,305023
600345,191843
600346,672568
600348,789426
600350,202162
600351,692475
600352,1768441
600353,733557
600354,298311
600355,581904
600356,198490
600358,353397
600359,158279
600360,685253
600361,512724
600362,155788
600363,322578
600365,263631
600366,628865
600367,429443
600368,234517
600369,458183
600370,637827
600371,290745
600372,297735
600373,397613
600375,375015
600376,787200
600377,253033
600378,359626
600379,191534
600380,963938
600381,101776
600382,300989
600383,1419368
600385,242091
600386,530052
600387,283877
600388,814525
600389,302022
600390,462982
600391,234523
600392,755413
600393,867478
600395,442121
600396,659030
600397,398862
600398,738792
600399,344348
600400,827744
600401,1888612
600403,510390
600405,710624
600406,2589836
600408,421926
600409,610993
600410,1252289
600415,3909551
600416,341522
600418,624127
600419,136849
600420,891479
600421,192004
600422,973747
600423,334849
600425,590527
600426,865827
600428,629056
600429,142452
600432,493998
600433,629942
600435,1343660
600436,645030
600438,1052616
600439,1529514
600444,199501
600446,1637073
600448,182188
600449,347363
600452,156693
600455,112999
600456,259975
600458,794684
600459,282166
600460,1483084
600461,415098
600462,451423
600463,291533
600466,508947
600467,896298
600468,878328
600469,261991
600470,240253
600475,247419
600476,205282
600477,1858623
600478,1022943
600479,926133
600480,199474
600481,894731
600482,286373
600483,240269
600485,282521
600486,368023
600487,740994
600488,689489
600489,1167164
600490,1398014
600491,1056650
600493,254778
600495,744763
600496,982113
600497,2034640
600498,353105
600499,2919843
600500,620431
600501,473168
600502,990267
600503,301253
600505,325790
600506,132654
600507,1001519
600508,309165
600509,614216
600510,534364
600511,529238
600512,617924
600513,616024
600515,221604
600516,564569
600517,2049278
600518,4450552
600519,730461
600520,234159
600521,1367576
600522,823283
600523,140856
600525,1260175
600526,390325
600527,1235728
600528,430265
600529,395936
600530,632931
600531,1006895
600532,233907
600533,838704
600535,790713
600536,528056
600537,441404
600538,308038
600539,121391
600540,345008
600543,245808
600545,416303
600546,811274
600547,1106643
600548,207124
600549,988809
600550,763770
600551,353847
600552,805911
600555,429080
600556,488732
600557,867904
600558,685764
600559,365881
600560,451201
600561,276137
600562,539869
600563,260016
600565,1056200
600566,192627
600567,385517
600568,1264077
600569,249743
600570,1424383
600571,1014388
600572,1450749
600573,130040
600575,1765190
600576,315133
600577,2240034
600578,503775
600579,188191
600580,689697
600581,332042
600582,3595402
600583,1936102
600584,478735
600585,424385
600586,1247502
600587,548464
600588,2469015
600589,420684
600590,333741
600592,323715
600593,137186
600594,1495988
600595,799528
600596,742180
600597,239667
600598,229766
600599,219957
600600,163988
600601,474627840
600602,53050844
600603,10742142
600604,5235383
600605,3475633
600606,11964799
600608,9653538
600609,2774412
600610,7938010
600611,63903321
600612,12059895
600613,2764697
600614,16783833
600615,5478030
600616,28618290
600617,4270070
600618,2450665
600619,5258501
