code,up_limit,down_limit
002019,13.65,11.17
002020,10.74,8.78
002021,3.56,2.92
002022,11.17,9.14
002023,9.77,7.99
002024,11.68,9.56
002025,26.97,22.07
002026,6.51,5.33
002027,6.38,5.22
002028,11.86,9.7
002029,7.21,5.9
002030,13.82,11.3
002031,2.24,1.84
002032,57.75,47.25
002033,6.57,5.37
002034,14.51,11.87
002035,9.82,8.04
002036,9.98,8.16
002037,9.02,7.38
002038,32.24,26.38
002039,14.14,11.57
002040,9.11,7.45
002041,6.19,5.07
002042,6.4,5.24
002043,6.17,5.05
002044,17.27,14.13
002045,5.71,4.67
002046,7.02,5.74
002047,7.39,6.05
002048,12.5,10.22
002049,35.48,29.03
002050,13.86,11.34
002051,12.61,10.31
002052,3.92,3.2
002053,8.43,6.89
002054,7.84,6.42
002055,13.34,10.92
002056,6.4,5.24
002057,6.95,5.69
002058,13.87,11.35
002059,6.08,4.98
002060,3.17,2.59
002061,12.24,10.02
002062,4.39,3.59
002063,6.39,5.23
002064,4.5,3.68
002065,8.06,6.6
002066,8.62,7.06
002067,4.09,3.35
002068,7.37,6.03
002069,3.85,3.15
002071,6.17,5.05
002072,8.76,7.16
002073,5.51,4.51
002074,13.15,10.76
002075,9.9,8.1
002076,4.03,3.29
002077,5.13,4.19
002078,6.67,5.45
002079,5.8,4.74
002080,8.69,7.11
002081,9.63,7.88
002082,9.9,8.1
002083,5.62,4.6
002084,4.72,3.86
002085,8.35,6.83
002086,5.65,4.63
002087,4.15,3.39
002088,10.73,8.78
002089,4.31,3.53
002090,18.05,14.77
002091,5.96,4.88
002092,8.13,6.65
002093,7.38,6.04
002094,6.74,5.52
002095,24.64,20.16
002096,6.22,5.09
002097,6.41,5.25
002098,7.96,6.52
002099,5.1,4.18
002100,4.86,3.98
002101,8.65,7.07
002102,2.35,2.13
002103,5.05,4.13
002104,6.46,5.28
002105,4.99,4.09
002106,6.78,5.54
002107,7.76,6.35
002108,4.71,3.85
002109,4.09,3.35
002110,14.81,12.11
002111,11.33,9.27
002112,7.77,6.35
002113,5.47,4.47
002114,8.68,7.1
002115,10.11,8.27
002116,7.93,6.49
002117,15.33,12.55
002118,5.53,4.53
002119,10.15,8.31
002120,33.13,27.11
002121,5.5,4.5
002122,2.05,1.85
002123,8.14,6.66
002124,6.36,5.2
002125,7.76,6.35
002126,8.1,6.62
002127,8.69,7.11
002128,8.45,6.91
002129,6.69,5.47
002130,4.02,3.29
002131,1.74,1.42
002132,3.09,2.53
002133,4.1,3.36
002134,7.35,6.01
002135,5.64,4.62
002136,9.0,7.36
002137,9.01,7.37
002138,15.03,12.29
002139,4.69,3.83
002140,6.89,5.63
002141,5.06,4.14
002142,18.46,15.1
002143,3.89,3.19
002144,11.63,9.51
002145,3.66,3.0
002146,9.11,7.45
002147,6.66,5.45
002148,6.64,5.44
002149,6.07,4.97
002150,7.13,5.83
002151,24.63,20.15
002152,6.52,5.34
002153,33.0,27.0
002154,3.45,2.83
002155,7.37,6.03
002156,8.62,7.06
002157,5.15,4.21
002158,8.53,6.98
002159,21.52,17.6
002160,4.35,3.56
002161,6.84,5.6
002162,3.77,3.09
002163,4.86,3.98
002164,3.34,2.74
002165,4.11,3.37
002166,7.35,6.01
002167,6.37,5.21
002168,12.05,9.86
002169,4.28,3.5
002170,3.43,2.81
002171,5.98,4.9
002172,4.49,3.67
002173,9.32,7.62
002174,17.6,14.4
002175,4.33,3.55
