code,sw1,sw2,sw3
002459,机械设备,专用设备,工程机械
002460,有色金属,稀有金属,锂
002461,食品饮料,饮料制造,啤酒
002462,医药生物,医药商业,医药商业
002463,电子,元件,印制电路板
002464,传媒,互联网传媒,互联网信息服务
002465,通信,通信设备,通信传输设备
002466,有色金属,稀有金属,锂
002467,通信,通信运营,通信运营
002468,交通运输,物流,物流
002469,建筑装饰,专业工程,化学工程
002470,化工,化学制品,复合肥
002471,电气设备,高低压设备,线缆部件及其他
002472,汽车,汽车零部件,汽车零部件
002473,家用电器,白色家电,小家电
002474,计算机,计算机应用,IT服务
002475,电子,电子制造,电子零部件制造
002476,化工,化学制品,其他化学制品
002477,农林牧渔,畜禽养殖,畜禽养殖
002478,钢铁,钢铁,特钢
002479,公用事业,环保工程及服务,环保工程及服务
002480,机械设备,通用机械,机械基础件
002481,食品饮料,食品加工,食品综合
002482,建筑装饰,装修装饰,装修装饰
002483,机械设备,专用设备,重型机械
002484,电子,元件,被动元件
002485,纺织服装,服装家纺,男装
002486,纺织服装,服装家纺,其他服装
002487,机械设备,金属制品,金属制品
002488,汽车,汽车零部件,汽车零部件
002489,轻工制造,家用轻工,家具
002490,机械设备,专用设备,冶金矿采化工设备
002491,通信,通信设备,通信传输设备
002492,交通运输,物流,物流
002493,化工,化学纤维,涤纶
002494,纺织服装,服装家纺,其他服装
002495,食品饮料,食品加工,调味发酵品
002496,化工,化学制品,农药
002497,化工,化学制品,民爆用品
002498,电气设备,高低压设备,线缆部件及其他
002499,机械设备,专用设备,环保设备
002500,非银金融,证券,证券
002501,有色金属,工业金属,铝
002502,传媒,互联网传媒,移动互联网服务
002503,纺织服装,服装家纺,休闲服装
002504,建筑装饰,装修装饰,装修装饰
002505,农林牧渔,畜禽养殖,畜禽养殖
002506,电气设备,电源设备,光伏设备
002507,食品饮料,食品加工,食品综合
002508,家用电器,白色家电,小家电
002509,机械设备,专用设备,楼宇设备
002510,汽车,汽车零部件,汽车零部件
002511,轻工制造,造纸,造纸
002512,计算机,计算机设备,计算机设备
002513,化工,化学制品,农药
002514,机械设备,通用机械,机械基础件
002515,食品饮料,食品加工,肉制品
002516,纺织服装,纺织制造,其他纺织
002517,传媒,互联网传媒,移动互联网服务
002518,电气设备,电源设备,储能设备
002519,家用电器,视听器材,其它视听器材
002520,机械设备,通用机械,机床工具
002521,轻工制造,造纸,造纸
002522,轻工制造,包装印刷,包装印刷
002523,机械设备,专用设备,重型机械
002524,公用事业,燃气,燃气
002525,食品饮料,饮料制造,其他酒类
002526,机械设备,专用设备,冶金矿采化工设备
002527,电气设备,电气自动化设备,工控自动化
002528,计算机,计算机设备,计算机设备
002529,机械设备,专用设备,其它专用机械
002530,机械设备,通用机械,其它通用机械
002531,电气设备,电源设备,风电设备
002532,机械设备,通用机械,其它通用机械
002533,电气设备,高低压设备,线缆部件及其他
002534,电气设备,电源设备,其它电源设备
002535,机械设备,专用设备,冶金矿采化工设备
002536,汽车,汽车零部件,汽车零部件
002537,机械设备,通用机械,机械基础件
002538,化工,化学制品,复合肥
002539,化工,化学制品,复合肥
002540,有色金属,工业金属,铝
002541,建筑装饰,专业工程,钢结构
002542,建筑装饰,专业工程,其他专业工程
002543,家用电器,白色家电,小家电
002544,通信,通信设备,通信配套服务
002545,建筑装饰,专业工程,钢结构
002546,电气设备,电气自动化设备,计量仪表
002547,电子,电子制造,电子零部件制造
002548,农林牧渔,饲料,饲料
002549,化工,化学制品,其他化学制品
002550,医药生物,化学制药,化学原料药
002551,医药生物,医疗器械,医疗器械
002552,机械设备,通用机械,机械基础件
002553,汽车,汽车零部件,汽车零部件
002554,采掘,采掘服务,油气钻采服务
002555,传媒,互联网传媒,互联网信息服务
002556,化工,化学制品,氮肥
002557,食品饮料,食品加工,食品综合
002558,传媒,互联网传媒,移动互联网服务
002559,机械设备,通用机械,机床工具
002560,电气设备,高低压设备,线缆部件及其他
002561,商业贸易,一般零售,百货
002562,化工,化学制品,其他化学制品
002563,纺织服装,服装家纺,休闲服装
002564,机械设备,专用设备,冶金矿采化工设备
002565,轻工制造,包装印刷,包装印刷
002566,医药生物,中药,中药
002567,农林牧渔,饲料,饲料
002568,食品饮料,饮料制造,其他酒类
002569,纺织服装,服装家纺,男装
002570,食品饮料,食品加工,乳品
002571,轻工制造,家用轻工,其他家用轻工
002572,轻工制造,家用轻工,家具
002573,公用事业,环保工程及服务,环保工程及服务
002574,轻工制造,家用轻工,珠宝首饰
002575,轻工制造,家用轻工,文娱用品
002576,电气设备,电机,电机
002577,计算机,计算机设备,计算机设备
002578,有色金属,工业金属,铝
002579,电子,元件,印制电路板
002580,电气设备,电源设备,储能设备
002581,医药生物,生物制品,生物制品
